FCID_Code,C02_kg
101050000,0.194
101052000,0.391
101053000,0.288
101067000,0.284
101078000,0.092
101079000,1.071
101100000,0.05
101168000,0.87
101190000,0.213
101251000,0.243
101314000,0.237
101316000,0.271
101327000,0.252
101388000,0.498
103015000,0.079
103017000,0.544
103082000,0.079
103139000,0.213
103166000,0.95
103167000,0.977
103296000,1.545
103297000,1.309
103298000,0.953
103299000,0.217
103300000,0.216
103366000,0.302
103371000,0.213
103387000,0.213
103406000,1.021
103407000,0.237
200051000,0.332
200101000,0.064
200140000,0.186
301165000,0.743
301237000,0.269
301238000,2.102
301338000,0.275
302103000,0.221
302198000,0.069
302239000,0.085
401005000,0.186
401118000,0.261
401138000,0.056
401144000,0.221
401150000,0.065
401204000,0.158
401205000,0.229
401248000,0.232
401313000,0.061
401355000,0.307
401367000,0.202
402018000,0.31
402062000,0.486
402070000,0.134
402117000,0.206
402133000,0.262
402194000,0.193
402229000,0.127
402389000,0.168
402398000,0.202
500061000,0.797
500064000,0.49
500069000,0.219
500071000,0.134
500072000,0.127
500083000,0.934
600347000,1.154
600348000,0.406
600349000,0.258
600350000,0.807
601043000,0.754
601257000,0.701
602031000,0.662
602033000,0.662
602037000,0.662
602255000,1.33
602259000,1.054
603030000,0.308
603032000,1.168
603034000,0.61
603035000,0.308
603036000,0.308
603038000,0.308
603039000,1.88
603040000,0.308
603041000,0.308
603042000,0.308
603098000,0.491
603182000,1.4
603203000,1.88
603256000,0.617
603258000,1.054
801374000,0.47
801375000,0.47
801376000,0.118
801377000,1.147
801378000,7.304
801379000,0.153
802148000,0.526
802234000,0.496
802270000,0.525
802271000,5.245
802272000,0.799
802273000,4.362
901075000,0.49
901187000,0.284
901399000,1.946
901400000,2.293
902021000,0.397
902088000,0.397
902102000,0.147
902135000,0.409
902308000,0.218
902309000,0.103
902356000,1.229
902357000,0.063
1001106000,0.593
1001107000,0.4
1001240000,0.294
1001241000,0.509
1001242000,0.214
1001369000,0.4
1001370000,1.572
1002197000,0.32
1002199000,0.422
1002200000,0.332
1002201000,0.297
1002206000,0.612
1002207000,1.943
1003180000,1.21
1003181000,1.646
1100007000,0.228
1100008000,0.267
1100009000,1.265
1100010000,1.288
1100011000,0.288
1100266000,0.249
1100267000,1.121
1100268000,1.315
1201090000,0.51
1201091000,1.587
1202012000,0.464
1202013000,1.408
1202014000,1.399
1202230000,0.284
1202260000,0.274
1202261000,1.678
1202262000,1.408
1203285000,0.576
1203286000,0.273
1203287000,1.478
1203288000,1.399
1301055000,0.599
1301056000,1.728
1301058000,0.599
1301320000,0.237
1301321000,1.555
1302057000,0.496
1302137000,0.684
1302174000,0.84
1302191000,0.605
1303227000,0.599
1304175000,0.478
1304176000,1.576
1304178000,0.684
1304179000,0.78
1304195000,0.264
1307130000,1.418
1307131000,3.825
1307132000,1.728
1307359000,0.614
1307360000,1.732
1400003000,2.272
1400004000,2.272
1400059000,2.057
1400068000,2.057
1400081000,4.999
1400092000,1.269
1400111000,1.521
1400112000,1.449
1400113000,0.792
1400114000,2.729
1400155000,0.99
1400213000,2.057
1400269000,2.057
1400278000,2.057
1400282000,1.792
1400391000,1.657
1500025000,0.393
1500026000,0.358
1500027000,0.393
1500065000,0.393
1500120000,0.55
1500121000,0.55
1500122000,0.55
1500123000,0.76
1500124000,0.76
1500125000,1.199
1500126000,0.393
1500127000,0.757
1500226000,0.47
1500231000,0.498
1500232000,0.498
1500233000,0.474
1500323000,1.541
1500324000,2.061
1500325000,1.357
1500326000,1.357
1500328000,0.385
1500329000,0.418
1500345000,0.488
1500381000,0.358
1500401000,0.347
1500402000,0.358
1500403000,0.358
1500404000,0.358
1500405000,1.771
1800002000,6.25
1901028000,0.221
1901029000,2.495
1901184000,0.221
1901220000,0.221
1901249000,1.692
1901334000,0.221
1902105000,0.87
1902119000,0.87
1902143000,0.87
1902274000,0.87
1902354000,0.87
2001162900,0.393
2001163000,2.334
2001319000,2.275
2001336000,1.05
2001337000,2.334
2002330000,2.334
2002364000,0.848
2002365000,2.646
2003128000,2.14
2100228000,3.093
2201019000,2.171
2201022000,1.149
2201073000,0.413
2201152000,0.331
2201196000,0.958
2201243000,0.534
2202085000,0.331
2202086000,2.457
2202322000,1.528
2301235000,0.482
2301236000,3.206
2302077000,0.534
2302153000,0.54
2302154000,1.807
2302183000,2.278
2302368000,1.571
2303141000,2.024
2401211000,0.893
2402020000,0.547
2402023000,0.374
2402024000,1.448
2402215000,0.639
2402216000,2.695
2402217000,1.984
2402245000,0.216
2402246000,1.551
2402247000,1.195
2402277000,0.307
2402283000,2.048
2402284000,0.757
2402289000,0.462
2402290000,1.902
2403060000,0.684
2403279000,0.914
2403280000,4.522
2403281000,1.855
2403346000,0.796
2405252000,0.684
2405253000,1.984
3100044000,33.105
3100045000,45.685
3100046000,33.105
3100047000,33.105
3100049000,33.105
3200169000,34.745
3200170000,34.745
3200171000,34.745
3400290000,5.56
3400291000,5.56
3400292000,5.56
3400293000,5.56
3400295000,5.56
3500339000,34.745
3500340000,34.745
3500341000,34.745
3500343000,34.745
3600222000,11.018
3600223000,11.018
3600224000,0
3800221000,0.84
3900312000,4.541
4000093000,4.188
4000094000,4.188
4000095000,4.188
4000096000,4.188
4000097000,4.188
5000382000,2.571
5000383000,2.571
5000384000,2.571
5000385000,2.571
5000386000,2.571
6000301000,2.831
6000302000,2.831
6000303000,2.831
6000304000,2.831
6000305000,2.831
7000145000,3.754
7000146000,3.754
7000147000,3.754
8000157000,1.571
8000158000,5.717
8000159000,2.148
8000160000,3.021
