Food,Food_code,GRMS,KCAL,TFAT,SFAT,PROT,CARB,CHOL,SUGR,SODM,FIBE,co2,Food_type,ingredients,m_hei,f_hei
"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunWhite potato, french fries, NS as to from fresh or frozenWhite potato, french fries, NS as to from fresh or frozen",170312480,450,902.828108522673,42.3408110440035,13.4004314063848,36.6133640111207,94.2297958009779,87.431693989071,4.95618828491995,1538.27053973732,9.40178314639056,3.79809355984175,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil']",4,2
"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunWhite potato, french fries, NS as to from fresh or frozenPudding, rice",112121890,450,851.951509602916,39.0156436965409,13.7591509398793,37.0835242417121,87.0778500080111,99.6218605880146,16.1727360202341,1310.13775009017,7.60127415346942,3.87908311096046,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar']",4,4
"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunWhite potato, french fries, NS as to from fresh or frozenNachos with beef, beans, cheese, and sour cream",157015560,450,1033.99606508188,53.6819380106121,18.6560082998043,44.7552564987279,93.7657377527979,117.879074041126,5.43149939987934,1515.1427075523,10.5376927037146,4.33217048385501,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts']",4,2
"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunPudding, riceWhite potato, french fries, NS as to from fresh or frozen",112121890,450,851.951509602916,39.0156436965409,13.7591509398793,37.0835242417121,87.0778500080111,99.6218605880146,16.1727360202341,1310.13775009017,7.60127415346942,3.87908311096046,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil']",4,4
"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunPudding, ricePudding, rice",53931300,450,801.07491068316,35.6904763490784,14.1178704733737,37.5536844723034,79.9259042150443,111.812027186958,27.3892837555483,1082.00496044302,5.80076516054827,3.96007266207916,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar']",2,3
"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunPudding, riceNachos with beef, beans, cheese, and sour cream",98824970,450,983.119466162127,50.3567706631496,19.0147278332988,45.2254167293193,86.6137919598312,130.06924064007,16.6480471351935,1287.00991790515,8.73718371079346,4.41316003497372,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts']",4,2
"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunNachos with beef, beans, cheese, and sour creamWhite potato, french fries, NS as to from fresh or frozen",157015560,450,1033.99606508188,53.6819380106121,18.6560082998043,44.7552564987279,93.7657377527979,117.879074041126,5.43149939987934,1515.1427075523,10.5376927037146,4.33217048385501,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil']",4,2
"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunNachos with beef, beans, cheese, and sour creamPudding, rice",98824970,450,983.119466162127,50.3567706631496,19.0147278332988,45.2254167293193,86.6137919598312,130.06924064007,16.6480471351935,1287.00991790515,8.73718371079346,4.41316003497372,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts', 'milkwater', 'graperaisin', 'sugarcanesugar', 'waterindirectallsources', 'ricewhite', 'milknonfatsolids', 'milkfat', 'beetsugar']",4,2
"Cheeseburger (hamburger with cheese sauce), 1/4 lb meat, with grilled onions, on rye bunNachos with beef, beans, cheese, and sour creamNachos with beef, beans, cheese, and sour cream",143718640,450,1165.16402164109,65.0230649772208,23.9115851932239,52.8971489863352,93.301679704618,148.326454093181,5.90681051483874,1492.01487536728,11.6736022610387,4.86624740786827,main_dishsideside,"['soybeanoil', 'onionbulb', 'sunfloweroil', 'barleyflour', 'milkfat', 'rapeseedoil', 'beefmeatbyproducts', 'vinegar', 'saffloweroil', 'beefmeat', 'dillseed', 'beeffat', 'cornfieldoil', 'cucumber', 'milknonfatsolids', 'ryegrain', 'wheatflour', 'turmeric', 'peppernonbelldried', 'dillweed', 'spicesother', 'cottonseedoil', 'cornfieldstarch', 'milkwater', 'lettucehead', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts', 'sunfloweroil', 'cornfieldoil', 'marjoram', 'beeffat', 'porkfat', 'peppernonbell', 'cornfieldmeal', 'onionbulb', 'spicesother', 'milkfat', 'cottonseedoil', 'beanpintoseed', 'waterindirectallsources', 'milkwater', 'rapeseedoil', 'tomato', 'milknonfatsolids', 'garlicbulb', 'beefmeat', 'soybeanoil', 'saffloweroil', 'beefmeatbyproducts']",4,1
"Cheeseburger, plain, on bunWhite potato, french fries, NS as to from fresh or frozenWhite potato, french fries, NS as to from fresh or frozen",170312210,450,1088.62045824945,47.7506471095772,17.8826718435433,46.790959639536,121.16968651136,106.55737704918,12.9616527657943,1937.17764356246,9.12855910267472,3.83949021449464,main_dishsideside,"['milkfat', 'beefmeatbyproducts', 'cottonseedoil', 'soybeanoil', 'milkwater', 'beeffat', 'cornfieldsyrup', 'wheatflour', 'beefmeat', 'milknonfatsolids', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil', 'soybeanoil', 'saffloweroil', 'cottonseedoil', 'cornfieldoil', 'beeffat', 'rapeseedoil', 'potatotuberw/opeel', 'sunfloweroil']",3,1
