Food,Food_code,GRMS,KCAL,TFAT,SFAT,PROT,CARB,CHOL,SUGR,SODM,FIBE,co2,Food_type,ingredients,m_hei,f_hei
"Duck, pressed, ChinesePastry, Chinese, made with rice flourPastry, Chinese, made with rice flour",131206310,450,965.343915343915,36.494708994709,9.42134038800706,22.8668430335097,136.583774250441,78.5714285714286,63.6649029982362,564.109347442681,4.25925925925926,0.34136586166111,main_dishsideside,"['pineapple', 'cornfieldsyrup', 'poultryothermeatbyproducts', 'poultryothermeat', 'pepperbell', 'cornfieldstarch', 'tomatopaste', 'vinegar', 'onionbulb', 'barleyflour', 'eggwhole', 'beetsugar', 'spicesother', 'wheatflour', 'cornfieldoil', 'poultryotherskin', 'soybeanoil', 'chestnut', 'poultryotherfat', 'wheatflour', 'waterindirectallsources', 'sugarcanesugar']['cornfieldoil', 'sesameseed', 'beetsugar', 'riceflour', 'sugarcanesugar', 'waterindirectallsources']['cornfieldoil', 'sesameseed', 'beetsugar', 'riceflour', 'sugarcanesugar', 'waterindirectallsources']",1,2
"Duck, pressed, ChinesePastry, Chinese, made with rice flourWhite rice with tomato sauce",135915460,450,822.91789143641,31.8417597491671,8.81252204585538,22.5760337056633,111.346854791299,78.5714285714286,45.9952968841857,1061.30707427004,3.9692337840486,0.370900374769788,main_dishsideside,"['pineapple', 'cornfieldsyrup', 'poultryothermeatbyproducts', 'poultryothermeat', 'pepperbell', 'cornfieldstarch', 'tomatopaste', 'vinegar', 'onionbulb', 'barleyflour', 'eggwhole', 'beetsugar', 'spicesother', 'wheatflour', 'cornfieldoil', 'poultryotherskin', 'soybeanoil', 'chestnut', 'poultryotherfat', 'wheatflour', 'waterindirectallsources', 'sugarcanesugar']['cornfieldoil', 'sesameseed', 'beetsugar', 'riceflour', 'sugarcanesugar', 'waterindirectallsources']['rapeseedoil', 'milkfat', 'cornfieldoil', 'sunfloweroil', 'tomatopuree', 'saffloweroil', 'milknonfatsolids', 'ricewhite', 'cottonseedoil', 'waterindirectallsources', 'milkwater', 'soybeanoil']",2,0
"Duck, pressed, ChineseWhite rice with tomato saucePastry, Chinese, made with rice flour",135915460,450,822.91789143641,31.8417597491671,8.81252204585538,22.5760337056633,111.346854791299,78.5714285714286,45.9952968841857,1061.30707427004,3.9692337840486,0.370900374769788,main_dishsideside,"['pineapple', 'cornfieldsyrup', 'poultryothermeatbyproducts', 'poultryothermeat', 'pepperbell', 'cornfieldstarch', 'tomatopaste', 'vinegar', 'onionbulb', 'barleyflour', 'eggwhole', 'beetsugar', 'spicesother', 'wheatflour', 'cornfieldoil', 'poultryotherskin', 'soybeanoil', 'chestnut', 'poultryotherfat', 'wheatflour', 'waterindirectallsources', 'sugarcanesugar']['rapeseedoil', 'milkfat', 'cornfieldoil', 'sunfloweroil', 'tomatopuree', 'saffloweroil', 'milknonfatsolids', 'ricewhite', 'cottonseedoil', 'waterindirectallsources', 'milkwater', 'soybeanoil']['cornfieldoil', 'sesameseed', 'beetsugar', 'riceflour', 'sugarcanesugar', 'waterindirectallsources']",2,0
"Duck, pressed, ChineseWhite rice with tomato sauceWhite rice with tomato sauce",140624610,450,680.491867528905,27.1888105036253,8.2037037037037,22.2852243778169,86.1099353321576,78.5714285714286,28.3256907701352,1558.50480109739,3.67920830883794,0.400434887878466,main_dishsideside,"['pineapple', 'cornfieldsyrup', 'poultryothermeatbyproducts', 'poultryothermeat', 'pepperbell', 'cornfieldstarch', 'tomatopaste', 'vinegar', 'onionbulb', 'barleyflour', 'eggwhole', 'beetsugar', 'spicesother', 'wheatflour', 'cornfieldoil', 'poultryotherskin', 'soybeanoil', 'chestnut', 'poultryotherfat', 'wheatflour', 'waterindirectallsources', 'sugarcanesugar']['rapeseedoil', 'milkfat', 'cornfieldoil', 'sunfloweroil', 'tomatopuree', 'saffloweroil', 'milknonfatsolids', 'ricewhite', 'cottonseedoil', 'waterindirectallsources', 'milkwater', 'soybeanoil']['rapeseedoil', 'milkfat', 'cornfieldoil', 'sunfloweroil', 'tomatopuree', 'saffloweroil', 'milknonfatsolids', 'ricewhite', 'cottonseedoil', 'waterindirectallsources', 'milkwater', 'soybeanoil']",2,1
"Lemon chicken, Chinese stylePastry, Chinese, made with rice flourPastry, Chinese, made with rice flour",134050650,450,1142.10128495843,43.5525321239607,7.77651801461325,41.0909549004787,146.593600403124,152.683295540438,72.2348198538674,1396.57344419249,4.08163265306123,0.80795792929157,main_dishsideside,"['chickenmeat', 'oniongreen', 'cottonseedoil', 'oliveoil', 'soybeanseed', 'turkeyskin', 'saffloweroil', 'peanutoil', 'sesameoil', 'soybeanflour', 'garlicbulb', 'chickenmeatbyproducts', 'turkeyfat', 'turkeymeatbyproducts', 'soybeanoil', 'chickenfat', 'sesameseed', 'chickenskin', 'turkeymeat', 'waterindirectallsources', 'lemon', 'beetsugar', 'grapewineandsherry', 'rapeseedoil', 'sunfloweroil', 'sugarcanesugar', 'cornfieldoil', 'ginger', 'beanblackseed', 'wheatflour', 'onionbulbdried', 'cornfieldstarch']['cornfieldoil', 'sesameseed', 'beetsugar', 'riceflour', 'sugarcanesugar', 'waterindirectallsources']['cornfieldoil', 'sesameseed', 'beetsugar', 'riceflour', 'sugarcanesugar', 'waterindirectallsources']",2,2
"Lemon chicken, Chinese stylePastry, Chinese, made with rice flourWhite rice with tomato sauce",138759800,450,999.675261050922,38.8995828784188,7.16769967246158,40.8001455726323,121.356680943982,152.683295540438,54.5652137398169,1893.77117101985,3.79160717785057,0.837492442400248,main_dishsideside,"['chickenmeat', 'oniongreen', 'cottonseedoil', 'oliveoil', 'soybeanseed', 'turkeyskin', 'saffloweroil', 'peanutoil', 'sesameoil', 'soybeanflour', 'garlicbulb', 'chickenmeatbyproducts', 'turkeyfat', 'turkeymeatbyproducts', 'soybeanoil', 'chickenfat', 'sesameseed', 'chickenskin', 'turkeymeat', 'waterindirectallsources', 'lemon', 'beetsugar', 'grapewineandsherry', 'rapeseedoil', 'sunfloweroil', 'sugarcanesugar', 'cornfieldoil', 'ginger', 'beanblackseed', 'wheatflour', 'onionbulbdried', 'cornfieldstarch']['cornfieldoil', 'sesameseed', 'beetsugar', 'riceflour', 'sugarcanesugar', 'waterindirectallsources']['rapeseedoil', 'milkfat', 'cornfieldoil', 'sunfloweroil', 'tomatopuree', 'saffloweroil', 'milknonfatsolids', 'ricewhite', 'cottonseedoil', 'waterindirectallsources', 'milkwater', 'soybeanoil']",2,2
"Lemon chicken, Chinese styleWhite rice with tomato saucePastry, Chinese, made with rice flour",138759800,450,999.675261050922,38.8995828784188,7.16769967246158,40.8001455726323,121.356680943982,152.683295540438,54.5652137398169,1893.77117101985,3.79160717785057,0.837492442400248,main_dishsideside,"['chickenmeat', 'oniongreen', 'cottonseedoil', 'oliveoil', 'soybeanseed', 'turkeyskin', 'saffloweroil', 'peanutoil', 'sesameoil', 'soybeanflour', 'garlicbulb', 'chickenmeatbyproducts', 'turkeyfat', 'turkeymeatbyproducts', 'soybeanoil', 'chickenfat', 'sesameseed', 'chickenskin', 'turkeymeat', 'waterindirectallsources', 'lemon', 'beetsugar', 'grapewineandsherry', 'rapeseedoil', 'sunfloweroil', 'sugarcanesugar', 'cornfieldoil', 'ginger', 'beanblackseed', 'wheatflour', 'onionbulbdried', 'cornfieldstarch']['rapeseedoil', 'milkfat', 'cornfieldoil', 'sunfloweroil', 'tomatopuree', 'saffloweroil', 'milknonfatsolids', 'ricewhite', 'cottonseedoil', 'waterindirectallsources', 'milkwater', 'soybeanoil']['cornfieldoil', 'sesameseed', 'beetsugar', 'riceflour', 'sugarcanesugar', 'waterindirectallsources']",2,2
"Lemon chicken, Chinese styleWhite rice with tomato sauceWhite rice with tomato sauce",143468950,450,857.249237143417,34.246633632877,6.5588813303099,40.5093362447859,96.1197614848408,152.683295540438,36.8956076257664,2390.9688978472,3.50158170263991,0.867026955508926,main_dishsideside,"['chickenmeat', 'oniongreen', 'cottonseedoil', 'oliveoil', 'soybeanseed', 'turkeyskin', 'saffloweroil', 'peanutoil', 'sesameoil', 'soybeanflour', 'garlicbulb', 'chickenmeatbyproducts', 'turkeyfat', 'turkeymeatbyproducts', 'soybeanoil', 'chickenfat', 'sesameseed', 'chickenskin', 'turkeymeat', 'waterindirectallsources', 'lemon', 'beetsugar', 'grapewineandsherry', 'rapeseedoil', 'sunfloweroil', 'sugarcanesugar', 'cornfieldoil', 'ginger', 'beanblackseed', 'wheatflour', 'onionbulbdried', 'cornfieldstarch']['rapeseedoil', 'milkfat', 'cornfieldoil', 'sunfloweroil', 'tomatopuree', 'saffloweroil', 'milknonfatsolids', 'ricewhite', 'cottonseedoil', 'waterindirectallsources', 'milkwater', 'soybeanoil']['rapeseedoil', 'milkfat', 'cornfieldoil', 'sunfloweroil', 'tomatopuree', 'saffloweroil', 'milknonfatsolids', 'ricewhite', 'cottonseedoil', 'waterindirectallsources', 'milkwater', 'soybeanoil']",3,2
"Moo Shu (Mu Shi) Pork, without Chinese pancakePastry, Chinese, made with rice flourPastry, Chinese, made with rice flour",134324460,450,1321.2095728652,87.2492028452293,13.1410423747621,36.2131060420244,99.1412482334116,283.940397350993,41.3240799140357,1753.34775803871,3.10977959984583,0.892658087554732,main_dishsideside,"['eggwhole', 'cornfieldstarch', 'peanutoil', 'oliveoil', 'oniongreen', 'porkfat', 'sunfloweroil', 'soybeanoil', 'saffloweroil', 'cabbage', 'cottonseedoil', 'sugarcanesugar', 'mushroom', 'rapeseedoil', 'beetsugar', 'soybeanseed', 'sesameoil', 'wheatflour', 'cornfieldoil', 'grapewineandsherry', 'porkmeat']['cornfieldoil', 'sesameseed', 'beetsugar', 'riceflour', 'sugarcanesugar', 'waterindirectallsources']['cornfieldoil', 'sesameseed', 'beetsugar', 'riceflour', 'sugarcanesugar', 'waterindirectallsources']",2,1
"Moo Shu (Mu Shi) Pork, without Chinese pancakePastry, Chinese, made with rice flourWhite rice with tomato sauce",139033610,450,1178.7835489577,82.5962535996875,12.5322240326104,35.922296714178,73.9043287742699,283.940397350993,23.6544737999851,2250.54548486607,2.81975412463517,0.92219260066341,main_dishsideside,"['eggwhole', 'cornfieldstarch', 'peanutoil', 'oliveoil', 'oniongreen', 'porkfat', 'sunfloweroil', 'soybeanoil', 'saffloweroil', 'cabbage', 'cottonseedoil', 'sugarcanesugar', 'mushroom', 'rapeseedoil', 'beetsugar', 'soybeanseed', 'sesameoil', 'wheatflour', 'cornfieldoil', 'grapewineandsherry', 'porkmeat']['cornfieldoil', 'sesameseed', 'beetsugar', 'riceflour', 'sugarcanesugar', 'waterindirectallsources']['rapeseedoil', 'milkfat', 'cornfieldoil', 'sunfloweroil', 'tomatopuree', 'saffloweroil', 'milknonfatsolids', 'ricewhite', 'cottonseedoil', 'waterindirectallsources', 'milkwater', 'soybeanoil']",2,2
