Food,Food_code,GRMS,KCAL,TFAT,SFAT,PROT,CARB,CHOL,SUGR,SODM,FIBE,co2,Food_type,ingredients,m_hei,f_hei
"Cuban sandwich, (Sandwich cubano), with spreadStewed beans with pork, tomatoes, and chili peppers, Mexican style (Frijoles a la charra)Stewed beans with pork, tomatoes, and chili peppers, Mexican style (Frijoles a la charra)",109940590,450,965.795657105817,47.709123318749,15.7952519850916,55.8915086695836,75.9822557122022,113.215038081348,9.74120888024631,1917.71187813969,5.75636039539783,1.14531868151828,main_dishsideside,"['milkwater', 'cottonseedoil', 'porkmeat', 'cornfieldoil', 'porkfat', 'saffloweroil', 'milknonfatsolids', 'cornfieldsyrup', 'sunfloweroil', 'rapeseedoil', 'soybeanoil', 'beetsugar', 'wheatflour', 'soybeanflour', 'milkfat', 'sugarcanesugar']['potatoflour', 'cassava', 'soybeanoil', 'cilantroleaves', 'milkfat', 'beetsugar', 'sugarcanesugar', 'peppernonbell', 'tomato', 'cornfieldstarch', 'porkmeat', 'milkwater', 'waterindirectallsources', 'beanpinkseed', 'onionbulb', 'porkmeatbyproducts', 'riceflour', 'cornfieldsyrup', 'garlicbulb', 'honey', 'cornfieldoil', 'rapeseedoil', 'cottonseedoil', 'saffloweroil', 'milknonfatsolids', 'wheatflour', 'porkfat', 'sunfloweroil']['potatoflour', 'cassava', 'soybeanoil', 'cilantroleaves', 'milkfat', 'beetsugar', 'sugarcanesugar', 'peppernonbell', 'tomato', 'cornfieldstarch', 'porkmeat', 'milkwater', 'waterindirectallsources', 'beanpinkseed', 'onionbulb', 'porkmeatbyproducts', 'riceflour', 'cornfieldsyrup', 'garlicbulb', 'honey', 'cornfieldoil', 'rapeseedoil', 'cottonseedoil', 'saffloweroil', 'milknonfatsolids', 'wheatflour', 'porkfat', 'sunfloweroil']",3,3
"Cuban sandwich, (Sandwich cubano), with spreadStewed beans with pork, tomatoes, and chili peppers, Mexican style (Frijoles a la charra)Black beans, Cuban style (Habichuelas negras guisadas a la Cubana)",109940700,450,938.095571755792,40.4157427135935,13.0190206103054,56.1641180667328,84.7976291194043,102.604434705874,10.7202521336033,2033.22478833009,8.29683016616642,1.08140601937823,main_dishsideside,"['milkwater', 'cottonseedoil', 'porkmeat', 'cornfieldoil', 'porkfat', 'saffloweroil', 'milknonfatsolids', 'cornfieldsyrup', 'sunfloweroil', 'rapeseedoil', 'soybeanoil', 'beetsugar', 'wheatflour', 'soybeanflour', 'milkfat', 'sugarcanesugar']['potatoflour', 'cassava', 'soybeanoil', 'cilantroleaves', 'milkfat', 'beetsugar', 'sugarcanesugar', 'peppernonbell', 'tomato', 'cornfieldstarch', 'porkmeat', 'milkwater', 'waterindirectallsources', 'beanpinkseed', 'onionbulb', 'porkmeatbyproducts', 'riceflour', 'cornfieldsyrup', 'garlicbulb', 'honey', 'cornfieldoil', 'rapeseedoil', 'cottonseedoil', 'saffloweroil', 'milknonfatsolids', 'wheatflour', 'porkfat', 'sunfloweroil']['garlicbulb', 'beanblackseed', 'cottonseedoil', 'oliveoil', 'rapeseedoil', 'waterindirectallsources', 'beetsugar', 'cornfieldoil', 'grapewineandsherry', 'onionbulb', 'peppernonbell', 'sugarcanesugar', 'spicesother', 'soybeanoil']",4,3
"Cuban sandwich, (Sandwich cubano), with spreadStewed beans with pork, tomatoes, and chili peppers, Mexican style (Frijoles a la charra)Yellow rice, cooked, regular, fat added in cooking",124935670,450,929.185269909819,41.2595297815927,13.0593666397249,51.9642494629044,85.0205696941861,102.195754334792,9.40055752565184,1970.56049819411,4.3738797044955,1.12162151208411,main_dishsideside,"['milkwater', 'cottonseedoil', 'porkmeat', 'cornfieldoil', 'porkfat', 'saffloweroil', 'milknonfatsolids', 'cornfieldsyrup', 'sunfloweroil', 'rapeseedoil', 'soybeanoil', 'beetsugar', 'wheatflour', 'soybeanflour', 'milkfat', 'sugarcanesugar']['potatoflour', 'cassava', 'soybeanoil', 'cilantroleaves', 'milkfat', 'beetsugar', 'sugarcanesugar', 'peppernonbell', 'tomato', 'cornfieldstarch', 'porkmeat', 'milkwater', 'waterindirectallsources', 'beanpinkseed', 'onionbulb', 'porkmeatbyproducts', 'riceflour', 'cornfieldsyrup', 'garlicbulb', 'honey', 'cornfieldoil', 'rapeseedoil', 'cottonseedoil', 'saffloweroil', 'milknonfatsolids', 'wheatflour', 'porkfat', 'sunfloweroil']['soybeanoil', 'saffloweroil', 'milknonfatsolids', 'onionbulbdried', 'rapeseedoil', 'milkfat', 'ricewhite', 'sunfloweroil', 'waterindirectallsources', 'cornfieldoil', 'milkwater', 'garlicbulb', 'cottonseedoil']",3,3
"Cuban sandwich, (Sandwich cubano), with spreadBlack beans, Cuban style (Habichuelas negras guisadas a la Cubana)Stewed beans with pork, tomatoes, and chili peppers, Mexican style (Frijoles a la charra)",109940700,450,938.095571755792,40.4157427135935,13.0190206103054,56.1641180667328,84.7976291194043,102.604434705874,10.7202521336033,2033.22478833009,8.29683016616642,1.08140601937823,main_dishsideside,"['milkwater', 'cottonseedoil', 'porkmeat', 'cornfieldoil', 'porkfat', 'saffloweroil', 'milknonfatsolids', 'cornfieldsyrup', 'sunfloweroil', 'rapeseedoil', 'soybeanoil', 'beetsugar', 'wheatflour', 'soybeanflour', 'milkfat', 'sugarcanesugar']['garlicbulb', 'beanblackseed', 'cottonseedoil', 'oliveoil', 'rapeseedoil', 'waterindirectallsources', 'beetsugar', 'cornfieldoil', 'grapewineandsherry', 'onionbulb', 'peppernonbell', 'sugarcanesugar', 'spicesother', 'soybeanoil']['potatoflour', 'cassava', 'soybeanoil', 'cilantroleaves', 'milkfat', 'beetsugar', 'sugarcanesugar', 'peppernonbell', 'tomato', 'cornfieldstarch', 'porkmeat', 'milkwater', 'waterindirectallsources', 'beanpinkseed', 'onionbulb', 'porkmeatbyproducts', 'riceflour', 'cornfieldsyrup', 'garlicbulb', 'honey', 'cornfieldoil', 'rapeseedoil', 'cottonseedoil', 'saffloweroil', 'milknonfatsolids', 'wheatflour', 'porkfat', 'sunfloweroil']",4,3
"Cuban sandwich, (Sandwich cubano), with spreadBlack beans, Cuban style (Habichuelas negras guisadas a la Cubana)Black beans, Cuban style (Habichuelas negras guisadas a la Cubana)",109940810,450,910.395486405767,33.1223621084381,10.2427892355193,56.4367274638819,93.6130025266063,91.9938313303988,11.6992953869602,2148.7376985205,10.837299936935,1.01749335723819,main_dishsideside,"['milkwater', 'cottonseedoil', 'porkmeat', 'cornfieldoil', 'porkfat', 'saffloweroil', 'milknonfatsolids', 'cornfieldsyrup', 'sunfloweroil', 'rapeseedoil', 'soybeanoil', 'beetsugar', 'wheatflour', 'soybeanflour', 'milkfat', 'sugarcanesugar']['garlicbulb', 'beanblackseed', 'cottonseedoil', 'oliveoil', 'rapeseedoil', 'waterindirectallsources', 'beetsugar', 'cornfieldoil', 'grapewineandsherry', 'onionbulb', 'peppernonbell', 'sugarcanesugar', 'spicesother', 'soybeanoil']['garlicbulb', 'beanblackseed', 'cottonseedoil', 'oliveoil', 'rapeseedoil', 'waterindirectallsources', 'beetsugar', 'cornfieldoil', 'grapewineandsherry', 'onionbulb', 'peppernonbell', 'sugarcanesugar', 'spicesother', 'soybeanoil']",4,1
"Cuban sandwich, (Sandwich cubano), with spreadBlack beans, Cuban style (Habichuelas negras guisadas a la Cubana)Yellow rice, cooked, regular, fat added in cooking",124935780,450,901.485184559794,33.9661491764373,10.2831352649388,52.2368588600536,93.8359431013881,91.5851509593171,10.3796007790088,2086.07340838451,6.91434947526409,1.05770884994407,main_dishsideside,"['milkwater', 'cottonseedoil', 'porkmeat', 'cornfieldoil', 'porkfat', 'saffloweroil', 'milknonfatsolids', 'cornfieldsyrup', 'sunfloweroil', 'rapeseedoil', 'soybeanoil', 'beetsugar', 'wheatflour', 'soybeanflour', 'milkfat', 'sugarcanesugar']['garlicbulb', 'beanblackseed', 'cottonseedoil', 'oliveoil', 'rapeseedoil', 'waterindirectallsources', 'beetsugar', 'cornfieldoil', 'grapewineandsherry', 'onionbulb', 'peppernonbell', 'sugarcanesugar', 'spicesother', 'soybeanoil']['soybeanoil', 'saffloweroil', 'milknonfatsolids', 'onionbulbdried', 'rapeseedoil', 'milkfat', 'ricewhite', 'sunfloweroil', 'waterindirectallsources', 'cornfieldoil', 'milkwater', 'garlicbulb', 'cottonseedoil']",4,2
"Cuban sandwich, (Sandwich cubano), with spreadYellow rice, cooked, regular, fat added in cookingStewed beans with pork, tomatoes, and chili peppers, Mexican style (Frijoles a la charra)",124935670,450,929.185269909819,41.2595297815927,13.0593666397249,51.9642494629044,85.0205696941861,102.195754334792,9.40055752565184,1970.56049819411,4.3738797044955,1.12162151208411,main_dishsideside,"['milkwater', 'cottonseedoil', 'porkmeat', 'cornfieldoil', 'porkfat', 'saffloweroil', 'milknonfatsolids', 'cornfieldsyrup', 'sunfloweroil', 'rapeseedoil', 'soybeanoil', 'beetsugar', 'wheatflour', 'soybeanflour', 'milkfat', 'sugarcanesugar']['soybeanoil', 'saffloweroil', 'milknonfatsolids', 'onionbulbdried', 'rapeseedoil', 'milkfat', 'ricewhite', 'sunfloweroil', 'waterindirectallsources', 'cornfieldoil', 'milkwater', 'garlicbulb', 'cottonseedoil']['potatoflour', 'cassava', 'soybeanoil', 'cilantroleaves', 'milkfat', 'beetsugar', 'sugarcanesugar', 'peppernonbell', 'tomato', 'cornfieldstarch', 'porkmeat', 'milkwater', 'waterindirectallsources', 'beanpinkseed', 'onionbulb', 'porkmeatbyproducts', 'riceflour', 'cornfieldsyrup', 'garlicbulb', 'honey', 'cornfieldoil', 'rapeseedoil', 'cottonseedoil', 'saffloweroil', 'milknonfatsolids', 'wheatflour', 'porkfat', 'sunfloweroil']",3,3
"Cuban sandwich, (Sandwich cubano), with spreadYellow rice, cooked, regular, fat added in cookingBlack beans, Cuban style (Habichuelas negras guisadas a la Cubana)",124935780,450,901.485184559794,33.9661491764372,10.2831352649388,52.2368588600536,93.8359431013881,91.5851509593171,10.3796007790088,2086.07340838451,6.91434947526409,1.05770884994407,main_dishsideside,"['milkwater', 'cottonseedoil', 'porkmeat', 'cornfieldoil', 'porkfat', 'saffloweroil', 'milknonfatsolids', 'cornfieldsyrup', 'sunfloweroil', 'rapeseedoil', 'soybeanoil', 'beetsugar', 'wheatflour', 'soybeanflour', 'milkfat', 'sugarcanesugar']['soybeanoil', 'saffloweroil', 'milknonfatsolids', 'onionbulbdried', 'rapeseedoil', 'milkfat', 'ricewhite', 'sunfloweroil', 'waterindirectallsources', 'cornfieldoil', 'milkwater', 'garlicbulb', 'cottonseedoil']['garlicbulb', 'beanblackseed', 'cottonseedoil', 'oliveoil', 'rapeseedoil', 'waterindirectallsources', 'beetsugar', 'cornfieldoil', 'grapewineandsherry', 'onionbulb', 'peppernonbell', 'sugarcanesugar', 'spicesother', 'soybeanoil']",4,2
"Cuban sandwich, (Sandwich cubano), with spreadYellow rice, cooked, regular, fat added in cookingYellow rice, cooked, regular, fat added in cooking",139930750,450,892.574882713821,34.8099362444364,10.3234812943582,48.0369902562252,94.0588836761699,91.1764705882353,9.05990617105737,2023.40911824853,2.99139901359317,1.09792434264995,main_dishsideside,"['milkwater', 'cottonseedoil', 'porkmeat', 'cornfieldoil', 'porkfat', 'saffloweroil', 'milknonfatsolids', 'cornfieldsyrup', 'sunfloweroil', 'rapeseedoil', 'soybeanoil', 'beetsugar', 'wheatflour', 'soybeanflour', 'milkfat', 'sugarcanesugar']['soybeanoil', 'saffloweroil', 'milknonfatsolids', 'onionbulbdried', 'rapeseedoil', 'milkfat', 'ricewhite', 'sunfloweroil', 'waterindirectallsources', 'cornfieldoil', 'milkwater', 'garlicbulb', 'cottonseedoil']['soybeanoil', 'saffloweroil', 'milknonfatsolids', 'onionbulbdried', 'rapeseedoil', 'milkfat', 'ricewhite', 'sunfloweroil', 'waterindirectallsources', 'cornfieldoil', 'milkwater', 'garlicbulb', 'cottonseedoil']",3,1
"Bread, CubanStewed beans with pork, tomatoes, and chili peppers, Mexican style (Frijoles a la charra)Stewed beans with pork, tomatoes, and chili peppers, Mexican style (Frijoles a la charra)",133525190,450,955.99173553719,23.8071625344353,7.55750688705234,38.2469008264463,149.055785123967,22.038567493113,13.064738292011,2096.14325068871,8.7465564738292,0.273748411198393,main_dishsideside,"['soybeanoil', 'milkwater', 'wheatflour', 'milknonfatsolids', 'milkfat', 'beetsugar', 'cottonseedoil', 'sugarcanesugar']['potatoflour', 'cassava', 'soybeanoil', 'cilantroleaves', 'milkfat', 'beetsugar', 'sugarcanesugar', 'peppernonbell', 'tomato', 'cornfieldstarch', 'porkmeat', 'milkwater', 'waterindirectallsources', 'beanpinkseed', 'onionbulb', 'porkmeatbyproducts', 'riceflour', 'cornfieldsyrup', 'garlicbulb', 'honey', 'cornfieldoil', 'rapeseedoil', 'cottonseedoil', 'saffloweroil', 'milknonfatsolids', 'wheatflour', 'porkfat', 'sunfloweroil']['potatoflour', 'cassava', 'soybeanoil', 'cilantroleaves', 'milkfat', 'beetsugar', 'sugarcanesugar', 'peppernonbell', 'tomato', 'cornfieldstarch', 'porkmeat', 'milkwater', 'waterindirectallsources', 'beanpinkseed', 'onionbulb', 'porkmeatbyproducts', 'riceflour', 'cornfieldsyrup', 'garlicbulb', 'honey', 'cornfieldoil', 'rapeseedoil', 'cottonseedoil', 'saffloweroil', 'milknonfatsolids', 'wheatflour', 'porkfat', 'sunfloweroil']",5,2
